0,1,2,3,4,5,6,7,8
81.6,1.702220069,1.032386263,0.083867909,-0.247855673,0.301584443,1.544189437,1.427009167,0.982346761
82,1.702220069,1.032386263,-0.134917941,0.500953007,0.829942364,-0.681725445,-0.484265148,-0.679073419
83.1,1.702220069,1.032386263,2.308190718,0.500953007,-0.815476638,-0.319074334,-0.080127616,0.276049027
83.5,1.702220069,1.032386263,-0.390168099,-0.247855673,0.193404468,-1.007221339,-1.317641336,-1.12798043
84.2,1.702220069,1.032386263,0.667296843,0.500953007,-0.278419348,1.346511414,1.41974477,0.652807402
85,1.702220069,1.032386263,0.886082693,0.500953007,-0.815476638,-0.334850361,-0.013152868,-0.119486665
87.5,1.702220069,1.032386263,0.156796526,-3.243090395,-0.815476638,-0.10657238,-0.353475477,-0.268545982
89.3,1.702220069,1.032386263,2.125869176,-0.247855673,-0.815476638,-1.216659815,-0.942614424,-1.224890553
79.8,1.702220069,1.422702431,0.120332218,0.875357347,-0.146189333,0.506487853,1.575261476,0.91613002
80.2,1.702220069,1.422702431,0.886082693,-0.996664354,0.113419654,3.12078674,2.590966535,1.740358387
80.8,1.702220069,1.422702431,0.120332218,0.500953007,-0.43725811,-1.278228934,-1.287240236,-0.372632139
81.2,1.702220069,1.422702431,2.782226726,0.500953007,-0.772756172,-0.045338554,0.111307542,0.590176893
81.2,1.702220069,1.422702431,0.813154076,0.500953007,-0.563995493,-0.681725445,-0.484265148,-0.679073419
81.6,1.702220069,1.422702431,-0.207846558,0.500953007,-0.79269239,-0.746172244,-0.477521605,-0.271510283
82,1.702220069,1.422702431,0.302653759,1.249761688,-0.560293053,-0.017471957,-0.455326042,0.168437789
82.5,1.702220069,1.422702431,-0.536025333,0.875357347,-0.678771146,0.972839618,1.471087326,1.510711952
82.6,1.702220069,1.422702431,0.484975301,-0.247855673,-0.522129437,-0.062221911,-0.390503118,1.14088882
82.8,1.702220069,1.422702431,-0.499561024,-0.247855673,-0.420549661,0.390965225,0.716052194,1.236077934
83.1,1.702220069,1.422702431,-1.265311499,-0.247855673,-0.317071198,-0.334850361,-0.013152868,-0.119486665
87.1,1.702220069,1.422702431,0.083867909,-0.622260013,-0.538810761,-1.009918894,-1.481687617,-1.707178262
81.5,1.702220069,-0.919194575,-1.921669049,-0.622260013,0.361709543,3.12078674,2.590966535,1.740358387
81.9,1.702220069,-0.919194575,0.484975301,0.500953007,-0.005600163,-0.334850361,-0.013152868,-0.119486665
82,1.702220069,-0.919194575,2.052940559,0.500953007,0.369304293,-0.681725445,-0.484265148,-0.679073419
82.3,1.702220069,-0.919194575,-0.536025333,-0.622260013,-0.071547185,-0.260363581,-0.108409091,-0.600432131
82.9,1.702220069,-0.919194575,-0.244310866,0.500953007,1.357447252,-0.017471957,-0.455326042,0.168437789
